name,id,region,role,birth,death,index,type
Albrecht,ba93,2,Mitbegründerin,1893,1943,1,1
Aubrac,la12,2,Mitbegründerin; Organisatorin,1912,2007,2,1
BlochSerazin,fbs13,1,FTP,Chemikerin,1913,1943,3,1
Casanova,dc09,1,Leiterin; Mitbegründerin,1909,1943,4,1
Chomat,cc15,1,Mitbegründerin; Mitglied,1915,1945,5,1
Fourcade,mmf89,1,Spionageleitung,1909,1989,6,1
GaulleAnthonioz,gga20,1,Kurierin,1920,2002,7,1
Spaak,ss05,1,Ressourcen,1905,1944,8,1
Tillion,gt07,1,1907,2008,9,1
VaillantCouturier,mcvc12,1,journalistin,1912,1996,10,1
combat,co,,,,,co,2
